n;u;x;y_next
0;0.397273785838;9.029195320500;0.007129371259
1;0.381292920468;7.942634216722;4.327337063320
2;0.259256839681;-0.354767430264;12.574956995936
3;0.381117826665;7.930729347290;1.145440552271
4;0.399133515795;9.155640928311;-6.793666831939
5;0.029032088737;-16.008066154133;8.269927793280
6;0.353906061808;6.080563879142;4.225138332293
7;0.394699918447;8.854194522423;7.259214866719
8;0.335718003352;4.843932669579;9.101223342470
9;0.461769837284;13.414370918043;-2.676585465772
10;0.278995880644;0.987317221584;-1.044955037425
11;0.255016761492;-0.643056201227;15.008777618539
12;0.423775535559;10.831085879131;1.013767096402
13;0.318317783023;3.660867662250;2.638600194750
14;0.287564697347;1.569922901529;-17.077924812717
15;0.069168786596;-13.279116643711;2.164617869130
16;0.205074954894;-4.038668594297;-1.990582633171
17;0.248326635533;-1.097927103312;13.113931513845
18;0.377803059149;7.705353726637;-21.914394769340
19;0.064356065867;-13.606340171763;2.378552773832
20;0.313376029669;3.324871027868;12.664328863389
21;0.375852566105;7.572737011255;21.199131611699
22;0.449432744949;12.575554974478;-2.357161152792
23;0.212671254766;-3.522185676605;-12.803122334736
24;0.150594640244;-7.742860416819;-17.165782538239
25;0.024112754296;-16.342538495652;1.273553551485
26;0.293123906204;1.947901188213;-2.694976411332
27;0.242443671458;-1.497917954268;13.953598020443
28;0.463135180546;13.507202491779;0.040282093495
29;0.289275181441;1.686221077057;-5.679454723734
30;0.212771674282;-3.515358015038;-19.450103486895
31;0.081904849260;-12.413174156514;-1.371116346751
32;0.323906774137;4.040870885692;4.112516024479
33;0.291003634848;1.803741010921;16.185685252827
34;0.423142294104;10.788030918183;-1.150267880875
35;0.359204291243;6.440797814485;2.903930923956
36;0.284234912572;1.343526236763;5.887148228917
37;0.312047629003;3.234551232224;-7.125939340973
38;0.080857456296;-12.484387850418;1.671481941851
39;0.260988806802;-0.237008594115;-5.030411459495
40;0.221003534911;-2.955662443873;17.781914489661
41;0.417166657090;10.381739106122;0.370002309624
42;0.201659528101;-4.270888178132;3.423877631079
43;0.293747266733;1.990284331306;9.000385630795
44;0.336590212430;4.903235369183;-2.554570702430
45;0.122849158003;-9.629314066891;2.044668948640
46;0.272839905323;0.568763959030;-3.692626746317
47;0.234138212490;-2.062617578190;13.369627906939
48;0.470099841974;13.980739439467;-1.564349233217
49;0.285011944893;1.396357737246;4.577265505430
50;0.305885054275;2.815549266822;13.126317963234
51;0.370378287053;7.200533219275;-0.436250805021
52;0.173255669608;-6.202105738752;1.771656915048
53;0.277666072743;0.896901746136;-11.354176480538
54;0.167185408695;-6.614831160354;19.305093330213
55;0.424267628535;10.864543960064;-2.190763049998
56;0.208085454664;-3.833980557885;-11.880062479585
57;0.158735029533;-7.189384108354;-14.611879899764
58;0.028831129922;-16.021729621432;0.383259282569
59;0.284994101749;1.395144557248;-6.708645907706
60;0.204774995813;-4.059063226392;-18.307922429767
61;0.108675568164;-10.592996011743;0.345220339989
62;0.319745398025;3.757933177524;-1.337661468016
63;0.253627467042;-0.737516249348;15.286341139601
64;0.415329985604;10.256861275578;-0.526160782531
65;0.337019930478;4.932452492686;-3.722072921859
66;0.237796488079;-1.813886369323;-15.209096251139
67;0.127227383495;-9.331632469979;-22.143688569537
68;0.066492063254;-13.461110759915;2.991833287344
69;0.318339888883;3.662370670148;15.846582211490
70;0.418180261830;10.450655491994;-0.966995941051
71;0.362836557137;6.687760588273;3.099356544134
72;0.283686438998;1.306234761106;8.922274139310
73;0.338224255156;5.014336190504;-8.596588113216
74;0.058163738101;-14.027365087270;-3.218559202462
75;0.285670508926;1.441134415207;-4.286814023458
76;0.226979131274;-2.549373395669;19.189270091772
77;0.462172918723;13.441776981689;1.972555334221
78;0.159112616686;-7.163711436381;1.094421903594
79;0.277507797771;0.886140412219;-13.329912282739
80;0.141793453058;-8.341265286738;-1.339810919686
81;0.119126624616;-9.882414252140;-3.115607894415
82;0.258182872201;-0.427787962214;-7.349712263966
83;0.202529543723;-4.211734614619;17.673904188474
84;0.491593920773;15.442151537257;1.497326667796
85;0.238530969498;-1.763947963414;-4.510647528001
86;0.223338849447;-2.796881183806;-17.751357521683
87;0.104260366251;-10.893191686510;-0.846592618068
