ConditionID,DecisionGrade,ZeroWindow,TimeSinceShutoff_s,CResidual,RResidual,LResidual
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,37,11325.0,3.2859987728827504e-17,2.933582548105245e-32,0.0007280129072112207
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,38,11625.0,1.221000550730275e-17,4.050375050054367e-33,0.0005960465557715338
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,39,11925.0,4.5369534437645106e-18,5.592321939840757e-34,0.0004880016454763652
PRI_CENTER_F0p0,DECISION_GRADE_PHYSICAL_SCREEN,40,12225.0,1.6858261479550915e-18,7.721276250307859e-35,0.0003995419547041588
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,1,525.0,0.08910813332010264,0.19678408768012862,0.9329448395595309
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,2,825.0,0.03007165620533216,0.02600058042139311,0.7842951708638897
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,3,1125.0,0.010146261210709303,0.0030117951724402616,0.6446318799207282
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,4,1425.0,0.003424774913102968,0.00034348902730500905,0.528067633103059
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,5,1725.0,0.0011563768370509296,3.91421852630194e-05,0.4323780202585246
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,6,2025.0,0.0003905291517805764,4.462567132689511e-06,0.35400492306729103
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,7,2325.0,0.00013190406413763833,5.089688680296747e-07,0.28983514392663545
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,8,2625.0,4.455456035288803e-05,5.8062958548951255e-08,0.23729699433013463
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,9,2925.0,1.5050226158356257e-05,6.624699851868353e-09,0.19428235242460054
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,10,3225.0,5.083977504004423e-06,7.559052986706548e-10,0.1590649373440383
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,11,3525.0,1.7173935385612973e-06,8.625579103473149e-11,0.13023135601229566
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,12,3825.0,5.801486206168471e-07,9.842841432858453e-12,0.10662441619056494
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,13,4125.0,1.959794654770168e-07,1.1232056053127718e-12,0.087296688565143
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,14,4425.0,6.62038047842583e-08,1.281745528284107e-13,0.07147248357026102
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,15,4725.0,2.2364333008241155e-08,1.4626706167041918e-14,0.05851672029784575
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,16,5025.0,7.554910243507116e-09,1.6691390537068027e-15,0.04790943847711028
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,17,5325.0,2.552130478541756e-09,1.9047554479131346e-16,0.0392249306439079
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,18,5625.0,8.621375441968518e-10,2.1736336446918605e-17,0.03211465700551834
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,19,5925.0,2.912395227439137e-10,2.480468475027504e-18,0.02629325731496912
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,20,6225.0,9.838391554534377e-11,2.8306176793684963e-19,0.02152709836235782
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,21,6525.0,3.323517102166681e-11,3.230195426816379e-20,0.017624897453797007
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,22,6825.0,1.122720741689002e-11,3.6861790560039465e-21,0.014430045565269427
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,23,7125.0,3.792674588710002e-12,4.206530897355134e-22,0.011814322072602631
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,24,7425.0,1.2812073516751008e-12,4.8003373028766314e-23,0.009672748807607776
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,25,7725.0,4.328059920682372e-13,5.47796732551439e-24,0.007919376915586866
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,26,8025.0,1.462066444855826e-13,6.251253961016323e-25,0.0064838374260068185
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,27,8325.0,4.939022021917255e-14,7.133702352055273e-26,0.005308517098629766
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,28,8625.0,1.6684564084163406e-14,8.140738932437432e-27,0.004346246201888492
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,29,8925.0,5.636235240097065e-15,9.29008953980284e-28,0.0035584054259344836
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,30,9225.0,1.9039945705699587e-15,1.0602944438162424e-28,0.0029133759541321164
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,31,9525.0,6.432171629277165e-16,1.2110786619364249e-29,0.0023852704889258717
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,32,9825.0,2.173425740753766e-16,1.3902689618245164e-30,0.001952894303692965
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,33,10125.0,7.353464129024592e-17,1.6458411023658061e-31,0.0015988946239442422
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,34,10425.0,2.505575319495092e-17,2.31714945385508e-32,0.001309064199554206
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,35,10725.0,8.836387794958209e-18,5.9510205734783176e-33,0.0010717711179284407
