seed,family,integration_method,n_features,lambda,train_nrmse,validation_nrmse,test_nrmse,test_r2
333,OCCUPANCY_MASKED_RL,zoh_previous,400,10000,0.7926190514,0.8224792972,0.9307853119,0.1336387032
333,UNMASKED_R,zoh_previous,200,1,0.839038646,0.828224812,0.982148875,0.03538358731
333,UNMASKED_L,zoh_previous,200,1e-06,0.6521332147,0.7921350403,0.9296477119,0.1357551318
333,MASKED_R,zoh_previous,200,100,0.8247440487,0.831262712,1.007933472,-0.01592988453
333,MASKED_L,zoh_previous,200,100,0.765287276,0.9264464747,0.9400345305,0.1163350814
333,ACTUAL_FRL,actual_or_historical,400,10000,0.792536642,0.819995926,0.9310197858,0.1332021585
333,ACTUAL_F408,actual_or_historical,408,10000,0.7925168993,0.8199995408,0.9309934976,0.1332511074
333,ACTUAL_FIELD,actual_or_historical,200,10000,0.8685892391,0.8437218891,1.028864823,-0.05856282303
333,ACTUAL_R_ONLY,actual_or_historical,200,100,0.8188015362,0.8337577235,1.010790695,-0.02169782907
333,ACTUAL_L_ONLY,actual_or_historical,200,100,0.7267319927,0.897264053,0.930817081,0.1335795616
