baseline,status,n_features,lambda,train_nrmse,validation_nrmse,test_nrmse,test_r2,driven_mean_0_9283_beats
TRAIN_INTERCEPT,legal,0,,1,1.022123507,1.162188317,-0.3506816852,TRUE
PERSISTENCE,legal,1,,0.947447868,1.309835685,1.006769419,-0.01358466349,TRUE
LINEAR_U_DELAY_10,legal,10,1,0.5837358753,0.5311227415,0.6827852589,0.5338042902,FALSE
NARMA_INFORMED_INPUT,legal,11,100,0.5908019639,0.4781631527,0.7071257001,0.4999732442,FALSE
TEST_MEAN_ORACLE_REFERENCE,non-predictive oracle normalization reference; uses test labels,0,,1.142346162,1.142833125,1,0,not_ranked_oracle
