seed,family,integration_method,n_features,lambda,window_macro_ovr_auc,window_accuracy,sine_auc,square_auc,triangle_auc,block_pooled_macro_auc,confusion
202,MASKED_L,linear_dt0.5,200,10000,0.7833333333,0.66,0.5847619048,0.8819047619,0.8833333333,0.8571428571,"[[4,5,6],[3,10,2],[1,0,19]]"
202,UNMASKED_RL,zoh_previous,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
202,OCCUPANCY_MASKED_RL,zoh_previous,400,100,0.9134126984,0.86,0.7752380952,0.9733333333,0.9916666667,1,"[[9,2,4],[1,14,0],[0,0,20]]"
202,UNMASKED_R,zoh_previous,200,1e-06,0.9936507937,0.94,1,0.980952381,1,1,"[[15,0,0],[2,12,1],[0,0,20]]"
202,UNMASKED_L,zoh_previous,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
202,MASKED_R,zoh_previous,200,100,0.6723809524,0.48,0.6,0.6971428571,0.72,0.8888888889,"[[3,6,6],[0,9,6],[5,3,12]]"
202,MASKED_L,zoh_previous,200,1000000,0.7765873016,0.3,0.5714285714,0.88,0.8783333333,0.8571428571,"[[15,0,0],[15,0,0],[20,0,0]]"
202,ACTUAL_DRIVEN_F408,actual_or_historical,408,100,0.8287301587,0.76,0.5752380952,0.9542857143,0.9566666667,0.9047619048,"[[5,5,5],[0,13,2],[0,0,20]]"
202,ACTUAL_DRIVEN_FRL,actual_or_historical,400,100,0.826031746,0.7,0.5542857143,0.9638095238,0.96,0.8571428571,"[[3,5,7],[0,13,2],[1,0,19]]"
202,ACTUAL_FIELD,actual_or_historical,200,1e-06,0.8603174603,0.86,0.6076190476,0.9733333333,1,0.8571428571,"[[8,7,0],[0,15,0],[0,0,20]]"
202,ACTUAL_BROWNIAN,actual_or_historical,200,1000000,0.653968254,0.3,0.6647619048,0.7238095238,0.5733333333,0.6706349206,"[[15,0,0],[15,0,0],[20,0,0]]"
202,ACTUAL_SILENT,actual_or_historical,408,1000000,0.5,0.3,0.5,0.5,0.5,0.5,"[[15,0,0],[15,0,0],[20,0,0]]"
303,UNMASKED_RL,linear_dt1,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
303,OCCUPANCY_MASKED_RL,linear_dt1,400,100,0.9303968254,0.84,0.8361904762,0.9733333333,0.9816666667,1,"[[11,0,4],[3,12,0],[1,0,19]]"
303,UNMASKED_R,linear_dt1,200,1e-06,0.9936507937,0.96,1,0.980952381,1,1,"[[15,0,0],[2,13,0],[0,0,20]]"
303,UNMASKED_L,linear_dt1,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
303,MASKED_R,linear_dt1,200,1,0.6544444444,0.52,0.6076190476,0.659047619,0.6966666667,0.8888888889,"[[9,1,5],[5,5,5],[7,1,12]]"
303,MASKED_L,linear_dt1,200,100,0.8352380952,0.74,0.6857142857,0.8933333333,0.9266666667,1,"[[8,2,5],[3,10,2],[1,0,19]]"
303,UNMASKED_RL,linear_dt0.5,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
303,OCCUPANCY_MASKED_RL,linear_dt0.5,400,100,0.9303968254,0.84,0.8361904762,0.9733333333,0.9816666667,1,"[[11,0,4],[3,12,0],[1,0,19]]"
303,UNMASKED_R,linear_dt0.5,200,1e-06,0.9936507937,0.96,1,0.980952381,1,1,"[[15,0,0],[2,13,0],[0,0,20]]"
303,UNMASKED_L,linear_dt0.5,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
303,MASKED_R,linear_dt0.5,200,1,0.6544444444,0.52,0.6076190476,0.659047619,0.6966666667,0.8888888889,"[[9,1,5],[5,5,5],[7,1,12]]"
303,MASKED_L,linear_dt0.5,200,100,0.8352380952,0.74,0.6857142857,0.8933333333,0.9266666667,1,"[[8,2,5],[3,10,2],[1,0,19]]"
